shipment_id,order_id,origin_center_id,origin_city,origin_state,destination_city,destination_state,ship_date,delivery_date,promised_delivery_date,weight_lbs,shipping_cost,carrier_type,delivery_status,delay_reason,customer_type,priority_level
SHP0020,ORD-10020,DC006,Miami,FL,Tampa,FL,2025-10-11,2025-10-11,2025-10-11,2.2,8.50,Ground,Delivered,,Residential,Standard
SHP0021,ORD-10021,DC003,Atlanta,GA,Jacksonville,FL,2025-10-11,2025-10-14,2025-10-13,17.6,31.00,Air,Late,Address issue,Residential,Express
SHP0022,ORD-10022,DC005,Newark,NJ,Newark,NJ,2025-10-12,2025-10-12,2025-10-12,1.1,6.25,Ground,Delivered,,Business,Standard
SHP0023,ORD-10023,DC004,Dallas,TX,Oklahoma City,OK,2025-10-12,2025-10-15,2025-10-14,30.0,60.00,Freight,Delayed,Mechanical,Business,Standard
SHP0024,ORD-10024,DC007,Chicago,IL,St Louis,MO,2025-10-13,2025-10-14,2025-10-14,10.0,18.00,Ground,Delivered,,Residential,Standard
SHP0025,ORD-10025,DC008,Phoenix,AZ,Denver,CO,2025-10-13,,2025-10-16,13.8,25.00,Ground,IN TRANSIT,,Business,Standard
SHP0026,ORD-10026,DC002,Greenville,SC,Columbia,South Carolina,2025-10-14,2025-10-14,2025-10-15,5.0,12.49,Ground,Delivered,,Residential,Standard
SHP0027,ORD-10027,DC001,Charlotte,NC,Greenville,SC,2025-10-14,2025-10-16,2025-10-15,8.6,15.50,Ground,Late,Weather,Business,Standard
SHP0028,ORD-10028,DC003,Atlanta,GA,Birmingham,AL,2025-10-15,2025-10-15,2025-10-17,7.3,19.00,Air,Delivered,,Business,Express
SHP0029,ORD-10029,DC006,Miami,FL,Atlanta,GA,2025-10-15,2025-10-17,2025-10-16,12.2,22.00,Air,delayed,WEATHER,Residential,Express
SHP0030,ORD-10030,DC005,Newark,NJ,Washington,DC,2025-10-16,2025-10-16,2025-10-17,3.3,9.75,Ground,Delivered,,Residential,Standard
SHP0031,ORD-10031,DC004,Dallas,TX,Austin,TX,2025-10-16,2025-10-16,2025-10-16,6.0,10.25,Ground,Delivered,,Business,Standard
SHP0032,ORD-10032,DC001,Charlotte,NC,Charleston,SC,2025-10-17,2025-10-18,2025-10-18,9.9,16.00,Ground,Delivered,,Residential,Standard
SHP0033,ORD-10033,DC007,Chicago,IL,Indianapolis,IN,2025-10-17,2025-10-20,2025-10-19,16.5,24.00,Ground,Late,Sort delay,Business,Standard
SHP0034,ORD-10034,DC002,Greenville,SC,Atlanta,GA,2025-10-18,2025-10-19,2025-10-19,5.0,12.49,Ground,Delivered,,Residential,Standard
SHP0034,ORD-10034-DUP,DC002,Greenville,SC,Atlanta,GA,2025-10-18,2025-10-19,2025-10-19,5.0,12.49,Ground,Delivered,,Residential,Standard
SHP0035,ORD-10035,DC003,Atlanta,GA,Miami,FL,2025-10-18,2025-10-18,2025-10-20,20.0,35.00,Air,Delivered,,Business,Express
